詞語,讀音,備註
一角,,
一角洋鈿,,
銅板,,
一個銅板,,
一個銅鈿,,
角子,,
工鈿,,
本鈿,,
算盤,,
秤盤,,
秤星,,
秤梗,,
秤着鉤,,
秤砣,,
秤紐繩,,
磅秤,,
戥盤秤,,
戥盤,,
鐵路,,
火車,,
公路,,
汽車,,
站頭,,
貨色車,,
公共汽車,,
三輪車,,
黃包車,,
人力車,,
黃魚車,,
黃行車,,
腳踏車,,
塌車,,
老爺車,,
航船,,
駛蓬船,,
舢板,,
網船,,
篙子,,
平箕,,
跳板,,
撐篙,,
搖櫓,,
背纖,,
扭繃,,
推艄,,
扳艄,,
擺渡船,,
擺渡,,
擺渡口,,
輪船,,
機帆船,,
插蠟燭,,
衆牲,,
雄馬,,
雌馬,,
雄牛,,
雌牛,,
黃牛,,
水牛,,
小牛,,
驢子,,
騾子,,
羊媽媽,,
綿羊,,
山羊,,
小羊,,
雄狗,,
雌狗,,
巴兒狗,,
雄貓,,
雌貓,,
豬玀,,
豬玀玀,,
老豬婆,,
小豬,,
兔子,,
雞瓜瓜,,
雞腳爪,,
雄雞,,
雌雞,,
小雞,,
伏小雞,,
老伏雞,,
討伏雞,,
踏雄,,
雞蛋,,
生蛋,,
雞冠頭,,
雞腳爪,,
雞仔,,
鴨連連,,
雄鴨,,
雌鴨,,
鴨蛋,,
白烏龜,,
鵝得頭,,
老鴉,,
喜鵲,,
麻雀,,
燕子,,
雁鵝,,
鵓鴿,,
鸚哥,,
仙鶴,,
老鷹,,
老虎,,
雌老虎,,
狐狸,,
狧猻,,
火赤練,,
黃鼠狼,,
老蟲,,
四腳蛇,,
蝙蝠,,
雞夾,,
蠶寶寶,,
結蛛,,
蟢蛛,,
螞米,,
螻蛄,,
曲蟮,,
蝸牛,,
百腳,,
壁虎子,,
蒼蠅,,
蚊子,,
白蝨,,
壁蝨,,
跳蝨,,
才蝍,,
蟑螂,,
叫哥哥,,
各蜢,,
螳螂,,
知了,,
洋茲他,,
蜜蜂,,
胡蜂,,
胡蜂窠,,
蜜糖,,
蝴蝶,,
蜻蜓,,
