詞語,讀音,備註
嬸嬸,,
嬸娒,,
阿嬸,,
孃舅,,
舅舅,,
舅姆,,
姑夫,,
夫夫,,
阿姨,,
孃姨娒娒,,
姨夫,,
晚爺,,
晚娘,,
寄名,,
寄爺,,
寄娘,,
寄兒子,,
寄囡兒,,
平輩,,
夫妻,,
男人,,
家小,,
家主婆,,
屋裏向,,
屋裏,,
大老母,,
小老母,,
哥哥,,
阿哥,,
老兄,,
阿姐,,
姐姐,,
弟弟,,
兄弟,,
老弟,,
妹妹,,
妹子,,
弟兄,,
弟兄道裏,,
姊妹,,
姊妹道裏,,
嫂嫂,,
阿嫂,,
弟新婦,,
姐夫,,
妹夫,,
雙生子,,
擺姆道裏,,
伯伯,,
阿叔,,
小阿叔,,
姑娘,,
阿舅,,
阿姨,,
堂房弟兄,,
堂房阿哥,,
堂房兄弟,,
堂房姊妹,,
堂房阿姐,,
堂房妹子,,
表弟兄,,
表兄,,
表弟,,
表姊妹,,
表阿姐,,
表妹,,
連襟,,
親家,,
親家母,,
小輩,,
兒子囡兒,,
兒子,,
大兒子,,
小兒子,,
老拖兒子,,
領个兒子,,
新婦,,
囡兒,,
囡兒小姐,,
女婿,,
毛腳女婿,,
阿侄,,
侄囡兒,,
外甥,,
外甥囡兒,,
孫子,,
孫新婦,,
孫囡兒,,
孫女婿,,
重孫,,
弟弟,,
妹妹,,
阿囡,,
囡囡,,
學堂,,
讀書着,,
到學堂,,
放學着,,
放飯學,,
放夜學,,
賴學,,
幼兒園,,
幼稚園,,
託兒所,,
放假,,
暑假,,
寒假,,
請假,,
敲手心,,
立壁角,,
關飯學,,
關夜學,,
課堂,,
上課,,
下課,,
講臺,,
黑板,,
粉筆,,
黑板揩,,
戒尺,,
簿子,,
日記簿,,
簿面,,
鉛筆,,
橡皮,,
圓規,,
三角尺,,
襯板,,
作文簿,,
大字簿,,
描紅簿,,
鋼筆,,
自來水筆,,
毛筆,,
筆套,,
筆筒,,
硯嶽,,
磨墨,,
墨水,,
墨汁,,
書包,,
鹽書包,,
叫扁,,
叫叫,,
讀書,,
溫書,,
背書,,
考試,,
考卷,,
批卷子,,
滿分,,
零湯糰,,
第一名,,
壓末名,,
着末名,,
大楷,,
小楷,,
劃脫,,
寫白字,,
一點,,
一劃,,
一豎,,
一撇,,
一捺,,
一勾,,
邊旁,,
單豎人,,
雙豎人,,
寶蓋頭,,
豎心邊旁,,
反犬幫,,
耳朵邊旁,,
反文,,
斜王幫,,
踢土邊旁,,
竹裏頭,,
草字頭,,
火字邊旁,,
三點水,,
走之,,
絞絲邊旁,,
挑手邊旁,,
走肖趙,,
刀口邵,,
曲日曹,,
草頭黃,,
三劃王,,
白相家物事,,
小人書,,
小書,,
洋畫,,
畫畫張,,
勃弗倒,,
伴孟孟,,
老鷹捉小雞,,
猜謎謎子,,
採東採,,
拼靈碰冷取,,
放炮仗,,
放爆仗,,
放鷂子,,
假兒摩摩,,
踢究踢,,
捉貼子,,
造房子,,
跳牛皮筋,,
挑繃繃,,
打彈子,,
削水片,,
車鐵箍,,
扯鈴,,
賤骨頭,,
摜鈴角,,
掉龍燈,,
蕩河船,,
扭秧歌,,
象棋,,
着棋,,
叉士,,
落士,,
飛象,,
落象,,
豁拳,,
擲骰子,,
牌九,,
叉麻雀,,
淴河浴,,
淴冷浴,,
梗蒙子,,
拍檯球,,
党籃球,,
千跟朵,,
豁虎跳,,
京戲,,
紹興戲,,
灘簧,,
戲子,,
說書,,
評彈,,
大書,,
評話,,
小書,,
彈詞,,
說書先生,,
出會,,
事體,,
交易經,,
做生活,,
重頭生活,,
做事體,,
爬起來,,
起來,,
起早起,,
睏晏朝,,
揩面,,
撫面,,
麪湯水,,
揩面水,,
嘓嘴,,
梳頭,,
剪節掐子,,
剃頭,,
修面,,
刮鬍子,,
扒耳朵,,
淴浴,,
揩身,,
擦背,,
射尿,,
拆尿,,
解手,,
小便,,
登坑,,
拆屎,,
乘風涼,,
孵太陽,,
打中覺,,
打瞌衝,,
打花掀,,
伸懶腰,,
睏來,,
開燈,,
關燈,,
睏覺,,
鋪牀,,
睏下來,,
睏一寣,,
睏着着,,
打昏,,
睏弗着,,
欠睏,,
落寣,,
睏出寣,,
仰剛睏,,
側轉睏,,
合爬睏,,
睏別个頭頸,,
做夢,,
說睏話,,
磨夜作,,
出門,,
轉來,,
蕩馬路,,
應酬,,
來去,,
留步吧,,
弗送着,,
安置,,
碰杯,,
轄拳,,
會鈔,,
要好,,
上路,,
弗上路,,
軋姘頭,,
尋相罵,,
打相打,,
罵山門,,
和調,,
穿繃,,
弗局,,
講得頭來,,
道伴,,
熟事人,,
薄相,,
接生,,
娘媽東菜,,
娘東菜,,
牢監,,
司前街,,
搖頭,,
橫処頭,,
搖轉,,
搖上,,
沉倒,,
沉殺,,
出松,,
得頭,,
點頭,,
放手,,
打扇,,
南無,,
跳腳,,
霎眼睛,,
睜開眼睛,,
彈彈眼睛,,
看野眼,,
出眼淚,,
哭出來,,
拖鼻涕,,
縮鼻涕,,
揩鼻涕,,
擤鼻涕,,
歪歪嘴,,
香面孔,,
坑鼻頭,,
赤膊,,
赤郭落,,
打起仔窮結,,
反綁仔手,,
鑲籠管,,
嶽起頭,,
退縮走,,
閘一埭,,
認得,,
弗認得,,
曉得,,
弗曉得,,
歡喜,,
愛惜,,
相信,,
休思,,
定心懊憦,,
巴望,,
疑心,,
動氣,,
牽記,,
當心,,
小心,,
鈍卵,,
發極,,
傷使性,,
光火,,
嫌鄙,,
掉弗落討厭,,
討厭,,
眼熱,,
眼紅,,
弗殼張講閒話,,
講張弗響埋怨,,
睬心,,
在心,,
傲殺,,
巴巴之望,,
頭大回頭,,
回頭,,
扯囂,,
回嘴,,
口衝,,
講薄相,,
喫排頭,,
嚼舌頭,,
唊嘴舌,,
強掰嘴,,
吹牛山,,
吹牛屄,,
咬耳朵,,
響弗落,,
喫弗消,,
討口彩,,
說死話,,
觸心筋旺東道,,
打个倫,,
攛掇,,
刮居一聲激剛,,
打切口,,
迸坼,,
尺開,,
敷出,,
拋出,,
揩油,,
尋開心漏薄相,,
打棚,,
解厭氣混俏柴柴,,
繃繃,,
弄弄,,
打上,,
劃拆,,
推頭,,
欠脫,,
落鋤,,
演磨,,
着槓,,
打登作死,,
變死,,
變潮,,
料煞,,
看穿,,
豁邊,,
扯扯,,
划着,,
觸祭,,
禿着,,
打个,,
帶草,,
等穿,,
党底,,
抵配,,
抵剛,,
難爲,,
搞落,,
出道,,
顧憐,,
關照,,
輯理,,
拉倒,,
拉娘倒,,
攬手,,
佢命,,
領盆,,
膩注,,
弄鬆,,
走樣,,
劈對,,
碰僵,,
欺瞞,,
坍臺,,
收作,,
合道,,
發甲,,
糟蹋,,
歪腳,,
弗礙弗是無不垃許,,
弗垃許,,
大紅,,
粉紅,,
火紅,,
天藍,,
火黃,,
藏青,,
草綠,,
玫瑰紅,,
赭石,,
慄殼色,,
玄色,,
花白扎制,,
蹩腳,,
推板,,
雅雅乎,,
搭漿,,
清爽,,
乾淨,,
齷齪,,
夜夜乎,,
差弗多,,
差仿弗多,,
鮮鮮,,
酌貨,,
穩足,,
催巉,,
香串,,
軟串,,
軟熟,,
縮党衣水,,
衣徐,,
隱寫彎腳,,
寬舒,,
直落挺括,,
笨頭,,
鄉氣,,
便當,,
便熱,,
回潮,,
原個頭,,
調他,,
耀光,,
丁倒,,
舒齊,,
窩逸,,
脗縫,,
鮮希,,
相巧,,
薦身,,
去貨,,
滑腸,,
狼犺,,
膩脂,,
禿龍,,
殼龍,,
實着,,
風堅,,
見數,,
有限,,
日長,,
筆挺,,
必靜,,
冰蔭,,
拍滿,,
碌亂,,
碌亂三千,,
突圞圞,,
血血叫,,
拍拍潽,,
必必靜,,
獨獨煎,,
熱烔烔,,
惹氣,,
阿末,,
着末,,
要好,,
巴結,,
把細,,
百抓,,
稱心,,
喫香,,
喫硬扎頓,,
有清頭,,
無清頭,,
出趟,,
理丄,,
閘底,,
木覺,,
木而覺之,,
窮健,,
粗光趟,,
大方,,
大氣,,
小氣,,
樂惠,,
小樂惠,,
各別,,
到巴,,
到家,,
道地,,
登樣,,
獨福,,
党定,,
党坦,,
惡掐,,
促掐,,
挖掐,,
尷尬,,
苦惱,,
苦惱子,,
苦匣惱子海會,,
好看,,
氣悶,,
際遭後生,,
糊塗,,
活靈,,
活絡,,
霍肉喫假,,
結棍,,
邋遢,,
來弗其,,
來三,,
來事,,
攬事,,
懶聊,,
無料,,
懶怕,,
搭殺,,
狼形老茄,,
老三老四,,
老卵,,
老顏,,
弗錯,,
捩切,,
羅皁,,
落開,,
發噱,,
發鬆,,
落拓,,
孟門,,
橫對米得勢,,
難過,,
難航,,
鬧猛,,
鬧熱,,
怕難爲情,,
排曹,,
漂亮,,
標緻,,
難看,,
七欠,,
七弗老欠,,
七弗老三欠,,
活七欠,,
少少叫,,
少神出見,,
勤儉,,
清健熱昏,,
熱絡,,
殺薄,,
殺癮,,
殺渴,,
適意,,
寫意,,
爽快,,
爽氣,,
窩心,,
烏蘇,,
下作,,
惡劣,,
厭氣要緊,,
要緊弗殺,,
野好,,
彈硬,,
硬橫,,
做作,,
賊腔,,
王六,,
軋實,,
酌趣,,
酌斂,,
無趣,,
弗趣,,
近情,,
着乖,,
托熟,,
角靈靈,,
白撩撩,,
直獨獨,,
野豁豁,,
厭道道,,
鬼搭搭,,
物事,,
勞曹,,
老鬼三,,
好貨,,
老爺貨,,
厾脫貨,,
落腳貨,,
觸當貨,,
假老戲,,
小零之碎,,
空屁,,
魂靈,,
魂靈頭,,
窩蕩,,
肉段,,
介形,,
外快,,
毛栗子,,
觸腔,,
党臉,,
嘴講,,
噱頭,,
堆卓,,
下巴戲,,
尖年頭,,
地地腳管,,
地頭腳管,,
氣力,,
氣把,,
當口,,
料摸,,
眼功,,
花頭,,
花露水,,
因頭,,
招勢,,
潮流,,
脈門,,
欄關,,
湯塔,,
累墜,,
靠傍,,
小嚇裏底,,
八成賬,,
一卓堆,,
雨豁搭,,
前夾心,,
彭光氣,,
肚膨氣脹,,
生腥氣,,
泥土氣,,
酒撲氣,,
落湯雞,,
暗關子,,
沐泰山,,
身背丄,,
回往心,,
江湖訣,,
臀塌衝一個,,
兩個,,
十個,,
第一,,
第二,,
第十,,
第一個,,
第二個,,
第十個,,
一號,,
兩號,,
十號,,
初一,,
初二,,
初十,,
二十,,
老大,,
老二,,
老拖,,
大哥,,
二哥,,
十一,,
十二,,
十五二十,,
廿一,,
廿二,,
廿五,,
三十,,
三十一,,
三十五,,
一百,,
一千,,
一百零兩,,
一百十,,
一百十個,,
一百十一,,
一百廿,,
一百三,,
兩百,,
兩百五,,
二百五,,
兩百五十個,,
一千一,,
一千一百個,,
兩千,,
一萬,,
一萬兩,,
兩萬,,
兩萬五兩家頭,,
三家頭,,
兩斤,,
二兩,,
二錢,,
兩錢,,
兩尺,,
兩寸,,
兩裏,,
兩擔,,
兩鬥,,
兩畝,,
幾個,,
多個,,
半個,,
一個半,,
大一半,,
小一半,,
個把,,
一兩個,,
頭兩個,,
三四個,,
三五個,,
七八個,,
靠十個,,
十三四個,,
十三五個,,
十七八個,,
十多個,,
十幾個,,
百把個,,
一百多個,,
千把個,,
萬把塊,,
一兩里路,,
一塊半,,
兩角半,,
一滴滴,,
一沰沰,,
一密密,,
一屑屑,,
一眼眼,,
箱子抽屜爐子,,
袋袋,,
罐頭吊子,,
鑊子,,
盆子,,
尔党,,
佢党,,
大家,,
自家,,
別人家,,
別人,,
人家,,
這個,,
該個,,
彎個,,
歸個,,
箇個,,
何個,,
何裏個,,
這処,,
該処,,
這処攤,,
這処點,,
彎処,,
歸処,,
箇処,,
何処,,
何処點,,
啥場化,,
何裏処,,
這場,,
該場,,
彎場,,
歸場,,
箇場,,
寔介,zhih ka3,
寔介兒,zhih kang3,
箇佬,,
如何,na1 ha1,
幾許,ki2 ho2,
幾時,,
啥辰光,,
幾點鐘啥人,,
啥個,,
啥等樣,,
作啥,,
啥體,,
啥佬,,
伲个,,
伲爺,,
尔个,,
尔党爺,,
這點,,
該點,,
箇點,,
彎點,,
歸點,,
箇點,,
這種,,
這注,,
這種介個,,
伲兩家頭,,
尔党兩家頭,,
佢党兩家頭,,
夫妻兩家頭,,
夫妻道裏,,
娘兩個,,
爺兩個,,
拜姆道裏,,
姑嫂道裏,,
婆新婦道裏,,
弟兄兩家頭,,
兄弟道裏,,
姊妹兩家頭,,
姊妹道裏,,
男人家子,,
女人家子,,
交關,,
甚忙,,
過份,,
本生,,
本着,,
常張,,
觸爬,,
出爬,,
大面板要,,
定堅,,
定規,,
硬做,,
阿殼張,,
弗殼張,,
阿作興,,
弗作興,,
剛剛,,
剛正,,
姜,,
加二,,
共總,,
一塌刮子,,
擱落三姆,,
亨八冷打,,
亨八冷,,
一起手,,
大約模賬,,
毛毛叫,,
豪㥰,,
橫豎,,
橫道,,
橫豎道,,
即莫,,
家險乎,,
險家乎,,
虧得,,
虧殺,,
老講,,
馬上,,
難板,,
千定,,
剩光,,
偏生偏偏,,
死殺,,
齊巧,,
傷性,,
尚怕,,
張怕,,
尚期,,
生天,,
直頭,,
着着,,
順帶便,,
仰剛,,
一埭路,,
一干子,,
一家頭,,
一腳走,,
一徑,,
一靠背,,
一來興,,
一道,,
又心,,
有心,,
原歸,,
緣善,,
難通道,,
再難,,
儘讓,,
真主,,
心心,,
獨剩,,
直腳,,
弗然,,
嚇挺,,
先弗先,,
阿超至於,,
弗超至於,,
阿有介事,,
夾夾繞,,
呆板數,,
道來弗來,,
呆呆調,,
軋軋實實大頭航注,,
自然絡然,,
蛆鑽劃辣,,
攤攤,,
單單,,
準定,,
準其,,
物事,,
作興,,
作時,,
作興道,,
故所以,,
不過,,
但不過,,
非但,,
弗但,,
嘦得,,
在外,,
直処个,,
垃垃許,,
垃丄,,
插貼塔,,
百滴答,,
北的党,,
此通此通,,
丄向裏向処點,,
搭攤,,
生活,,
道裏,,
家子,,
跟手,,
範就,,
滴嗒,,
吉夾,,
尺貢,,
趁趁,,
趁趁得來,,
箇末,,
惱末,,
難末,,
叫我,,
叫啥,,
倒說,,
阿有啥,,
賽過,,
个說話,,
要死哉,,
亦罷哉,,
謝謝,,
覅客氣,,
對弗住,,
弗要緊,,
晏歇會,,
明朝會,,
再會,,
好个,,
弗來事,,
戳尔党娘,,
戳尔娘,,
看冷鋪,,
熟冷拳,,
弄鬆人,,
出噱頭,,
扳錯頭,,
搭架子,,
扎臺形,,
掉槍花,,
打回票,,
喫夾當,,
摜紗帽,,
隑牌頭,,
拍馬屁,,
闖鄉鄰,,
搭訕頭,,
拆爛污,,
喫講茶,,
倒胃口,,
做人家,,
掘壁洞,,
開條夫,,
捉死蟹,,
摸屁股,,
豁零子,,
照牌頭,,
看人頭,,
掮木梢,,
掮溼木梢,,
喫豆腐,,
塔便宜,,
度死日,,
喫鈍頭,,
喫獨食,,
橫戳槍,,
攤世界,,
照份理,,
尋休思,,
睏扁頭,,
捏鼻頭做夢,,
捉冷刺,,
發極蹦,,
賣關子,,
無道成,,
杭情杭事,,
討手腳,,
搶羹飯,,
軋苗頭,,
打圓場,,
觸壁腳,,
關心筋,,
有介事,,
踏肩頭,,
聽壁腳,,
喫排頭,,
喫生活,,
扳退眼,,
抄近路,,
偷死怪,,
熬好戲,,
有卵用,,
無心想,,
挑挑佢,,
弗失頭,,
觸黴頭,,
弗連牽,,
弗像着,,
弗犯着,,
弗領盆,,
弗入調,,
弗習上,,
弗直落,,
弗卵佢,,
瞎卵鬥,,
瞎尺拍,,
瞎妻穿,,
好說話,,
搭死摜,,
窮迸繃,,
無媽用,,
懊門痛,,
朝南坐,,
惡死做,,
窠裏反,,
半爿俏,,
交叉過,,
對壁撞,,
下原虛,,
逆面衝,,
帶坑臭,,
人來瘋,,
路角側,,
雞頭渾,,
阿胡卵,,
鴨屎臭,,
張曉得,,
肚腸癢,,
老繭起,,
懶屁股,,
喇叭腔,,
假掩頭,,
假花頭,,
真生活,,
真傢伙,,
大近共,,
近共,,
大生活,,
和羅處,,
矮模樣,,
模樣,,
模樣丄,,
尷尬戲,,
咬得入,,
弄弗落,,
拎弗清,,
屁糟筋,,
意弗過,,
氣過骱,,
催急急,,
趕動身,,
熟着法,,
爛污糟,,
腳碰腳,,
直拔直,,
和搭和,,
纏垃拌,,
把小心,,
馬件件,,
一絞圈,,
一來興,,
六席惹,,
大道點,,
癡頭怪腦,,
犟頭掘腦,,
賊皮塌臉,,
彈眼落睛,,
勾肩搭背,,
韌皮吊筋,,
抓手抓腳,,
前腳後腳,,
出生出世,,
面長面短,,
真問真講,,
直言談相,,
關門落閂,,
敲釘鑽腳,,
牽絲扳藤,,
添油加醬,,
濃油擦醬,,
脫頭落襻,,
奇出怪樣,,
各旗各式,,
閒文野賬,,
纏彎裏曲,,
死貓活實,,
爬高絡上,,
橫闊豎大,,
絹光滴滑,,
垃殺吊死,,
老喫老做,,
多說多話,,
說來話去,,
筋牽拉牽,,
當着弗着,,
神之乎之,,
騰倉搭倉,,
甜个鹹个,,
一天世界,,
一和細絲,,
一歸一至,,
指點戳三,,
跌搭四衝,,
奇出八怪,,
派頭一六,,
搞七廿三,,
一腳六手,,
弗二弗三,,
弗三弗四,,
三番四復,,
五爪金龍,,
六缸水混,,
三角六球,,
七翹八裂,,
七歪八訓,,
七端八正,,
傍七傍八,,
千多萬謝,,
橫冷橫冷,,
白添白添,,
挨年挨年,,
徐坐徐坐,,
扶壽扶壽,,
汗毛凜凜,,
眼窠盈盈,,
賊脫希希,,
賊骨牽牽,,
活扎利利,,
方楞出角,,
熱吹頗燙,,
淡子刮搭,,
厚脂納得,,
厚脂黑納得,,
破注落索,,
筆立司直,,
擦光全新,,
刮辣鬆脆,,
夾燎絲白,,
百个來皺,,
弄統過印,,
的角四方,,
心心掛念,,
完完大吉,,
疑惑疑之,,
直絲直落,,
的的刮刮,,
壞壞抓抓,,
割割裂裂,,
拗拗應應,,
陌陌生生,,
陌陌戶頭,,
細細到到,,
細模細想,,
殺殺薄薄,,
斷氣喇叭,,
老結主意,,
党定泰山,,
珠花野米,,
夾和鋼金,,
灰毛落拓,,
灰塵白塳,,
踏殺螞蟻,,
啥個一出,,
狗屄倒竈,,
說弗嘴響,,
睏思夢東,,
冤枉年障,,
瞎說貼出,,
雜个亂拌,,
城隍鬼叫,,
啥個力升,,
骯髒忘味,,
狼藉脫,,
賊弗空手,,
真嶄實貨,,
舞頭劈拍,,
劈虛當中,,
別立火尖,,
冤家七世,,
紐結古結,,
結个羅多,,
煙弗多點,,
老夫塔之,,
媽而哈之,,
佢呼拉呼,,
搖丁活絡,,
等人心焦,,
根老固實,,
地陌生疏,,
哭出烏拉,,
直腰懶摜,,
扎搭一把,,
私皮夾賬,,
大起忙頭,,
曷得弗轉,,
少成出見,,
小家排氣,,
稀溼落托,,
扣料划水,,
嚇脫個喜,,
約只馬道,,
冰蔭結骨,,
牽相引頭,,
搲拉弗出,,
吊兒郎當,,
成更半夜,,
呆頭木屑,,
昏頭瞌衝,,
昏頭昏腦,,
昏頭七衝,,
眼窠落潭,,
幹筋火旺,,
百門四散,,
槽頭血癢,,
老鬼失闢,,
大眼眯妻,,
薦薦上路,,
無手抓羅,,
生病六痛,,
陰陽怪氣,,
刁鑽促掐,,
一排連牽,,
四四着落,,
紅白團穿,,
靈魂出竅,,
臨時完結,,
替換落班,,
出腳蠻便,,
赤卵弟兄,,
死蟹一隻,,
一似同形,,
一似一脫式,,
拿當得出,,
另有一功,,
喫牢告仔,,
盯牢告仔,,
盯牢黃包車,,
毛裏有病,,
來得正好,,
伸只後腳,,
遮世人眼,,
蕩得溜溜,,
爽了個宕,,
喫佢弗殺,,
有道理个,,
搭弗落色,,
讓佢去希,,
一個批頭,,
一個忘形厭,,
一個突頭眼,,
一個勃來花,,
一對帶拉蘇,,
一事兩勾當,,
一拍一抿縫,,
腳踏兩頭船,,
學嚨三板響,,
七更八式調,,
板板六十四,,
翹嘴党舌頭,,
本作裏貨色,,
自病自得知,,
搲屎厾爛泥,,
雞毛當令箭,,
無不好先戲,,
無不落場勢,,
橫裏豎処角,,
無腳蟹坨坨,,
回得出報門,,
瞎纏三官經,,
大不可小算,,
卓準仔火光,,
五斤狠六斤,,
反裝門印子,,
弗是生意經,,
眼睛地白色,,
瞎子稱道笑,,
出窠小弟兄,,
老皮膿貢瘡,,
碰鼻頭轉彎,,
老實弗客氣,,
謝謝一家門,,
老虎弗動身,,
米得勢垃許,,
有党花事體,,
說弗得个穿,,
十得咕廿四咕,,
門開得直蕩蕩,,
換仔第二三個,,
轟生恁立起來,,
頂仔石臼做戲,,
寶寶子,,
肉肉子,,
長一買垃大一買,,
長一買大一買,,
隔夜飯匣嘔出來,,
夾腳屁股跟出來,,
一丈水退仔八尺,,
講忙頭裏炒螺螄,,
講忙頭裏髈牽筋,,
三隻節頭扼田螺,,
敲脫仔牙子望肚裏咽,,
帶泥老蔔喫一段汏一段,,
幺二三,,
子丑寅,,
城隍老,,
#地名,
上海,,
黃浦,,
南京東路,,
外灘,,
半淞園路,,
小東門,,
豫園,,
老西門,,
五里橋,,
打浦橋,,
淮海中路,,
瑞金二路,,
徐匯,,
天平路,,
湖南路,,
斜土路,,
楓林路,,
長橋,,
田林,,
虹梅路,,
康健新村,,
徐家彙,,
凌雲路,,
龍華,,
漕河涇,,
華涇,,
長寧,,
華陽路,,
江蘇路,,
新華路,,
周家橋,,
天山路,,
仙霞新村,,
虹橋,,
程家橋,,
北新涇,,
新涇,,
靜安,,
江寧路,,
石門二路,,
南京西路,,
靜安寺,,
曹家渡,,
天目西路,,
北站,,
寶山路,,
共和新路,,
大寧路,,
彭浦新村,,
臨汾路,,
芷江西路,,
彭浦,,
普陀,,
曹楊新村,,
長風新村,,
長壽路,,
甘泉路,,
石泉路,,
宜川路,,
真如鎮,,
萬里,,
長征,,
桃浦,,
虹口,,
歐陽路,,
曲陽路,,
廣中路,,
嘉興路,,
涼城新村,,
四川北路,,
北外灘,,
江灣鎮,,
楊浦,,
定海路,,
平涼路,,
江浦路,,
四平路,,
控江路,,
長白新村,,
延吉新村,,
殷行,,
大橋,,
五角場,,
新江灣城,,
長海路,,
閔行,,
江川路,,
古美,,
新虹,,
浦錦,,
莘莊,,
七寶,,
顓橋,,
華漕,,
虹橋,,
梅隴,,
吳涇,,
馬橋,,
浦江,,
莘莊工業區,,
寶山,,
友誼路,,
吳淞,,
張廟,,
羅店,,
大場,,
楊行,,
月浦,,
羅涇,,
顧村,,
高境,,
廟行,,
淞南,,
嘉定,,
新成路,,
真新,,
菊園,,
嘉定鎮,,
南翔,,
安亭,,
馬陸,,
徐行,,
華亭,,
外岡,,
江橋,,
浦東新區,,
濰坊新村,,
陸家嘴,,
周家渡,,
塘橋,,
上鋼新村,,
南碼頭路,,
滬東新村,,
金楊新村,,
洋涇,,
浦興路,,
東明路,,
花木,,
川沙新,,
高橋,,
北蔡,,
合慶,,
唐鎮,,
曹路,,
金橋,,
高行,,
高東,,
張江,,
三林,,
惠南,,
周浦,,
新場,,
大團,,
康橋,,
航頭,,
祝橋,,
泥城,,
宣橋,,
書院,,
萬祥,,
老港,,
南匯新城,,
金山,,
石化,,
朱涇,,
楓涇,,
張堰,,
亭林,,
呂巷,,
廊下,,
金山衛,,
漕涇,,
山陽,,
淞江,,
岳陽,,
永豐,,
方松,,
中山,,
廣富林,,
九里亭,,
泗涇,,
佘山,,
車墩,,
新橋,,
洞涇,,
九亭,,
泖港,,
石湖蕩,,
新浜,,
葉榭,,
小崑山,,
淞江工業區,,
青浦,,
夏陽,,
盈浦,,
香花橋,,
朱家角,,
練塘,,
金澤,,
趙巷,,
徐涇,,
華新,,
重固,,
白鶴,,
奉賢,,
南橋,,
奉城,,
莊行,,
金匯,,
四團,,
青村,,
柘林,,
海灣,,
崇明,,
城橋,,
堡鎮,,
新河,,
廟鎮,,
豎新,,
向化,,
三星,,
港沿,,
中興,,
陳家,,
綠華,,
港西,,
建設,,
新海,,
東平,,
長興,,
新村,,
橫沙,,
東平林場,,
江蘇,,
無錫,,
錫山,,
東亭,,
安鎮,,
東北塘,,
雲林,,
厚橋,,
羊尖,,
鵝湖,,
錫北,,
東港,,
惠山,,
堰橋,,
長安,,
錢橋,,
前洲,,
玉祁,,
洛社,,
陽山,,
濱湖,,
河埒,,
榮巷,,
蠡湖,,
蠡園,,
華莊,,
太湖,,
雪浪,,
馬山,,
胡埭,,
梁溪,,
崇安寺,,
通江,,
廣瑞路,,
上馬墩,,
江海,,
廣益,,
迎龍橋,,
南禪寺,,
清名橋,,
金星,,
金匱,,
揚名,,
北大街,,
惠山,,
山北,,
黃巷,,
五河,,
新吳,,
新安,,
旺莊,,
碩放,,
江溪,,
梅村,,
鴻山,,
江陰,,
澄江,,
南閘,,
雲亭,,
城東,,
夏港,,
申港,,
利港,,
璜土,,
月城,,
青陽,,
徐霞客,,
華士,,
周莊,,
新橋,,
長涇,,
顧山,,
祝塘,,
宜興,,
新莊,,
宜城,,
屺亭,,
新街,,
芳橋,,
張渚,,
西渚,,
太華,,
徐舍,,
官林,,
楊巷,,
新建,,
和橋,,
高塍,,
萬石,,
周鐵,,
丁蜀,,
湖鎮,,
常州,,
天寧,,
天寧街道,,
蘭陵,,
茶山,,
雕莊,,
紅梅,,
青龍,,
鄭陸,,
鐘樓,,
五星,,
永紅,,
北港,,
西林,,
南大街,,
荷花池,,
新閘,,
鄒區,,
新北,,
三井,,
龍虎塘,,
新橋,,
春江,,
孟河,,
薛家,,
羅溪,,
西夏墅,,
奔牛,,
武進,,
南夏墅,,
西湖,,
丁堰,,
戚墅堰,,
潞城,,
湖塘,,
牛塘,,
洛陽,,
遙觀,,
橫林,,
橫山橋,,
雪堰,,
前黃,,
禮嘉,,
嘉澤,,
湟里,,
金壇,,
西城,,
堯塘,,
金城,,
儒林,,
直溪,,
朱林,,
薛埠,,
指前,,
溧陽,,
崑崙,,
溧城,,
古縣,,
埭頭,,
上黃,,
戴埠,,
天目湖,,
別橋,,
上興,,
竹簀,,
南渡,,
社渚,,
蘇州,,
虎丘,,
獅山,,
橫塘,,
楓橋,,
東渚,,
鎮湖,,
滸墅關,,
通安,,
高新區滸墅關開發分區,,
吳中,,
長橋,,
郭巷,,
橫涇,,
越溪,,
城南,,
香山,,
婁葑,,
斜塘,,
唯亭,,
勝浦,,
甪直,,
光福,,
木瀆,,
胥口,,
臨湖,,
東山,,
金庭,,
蘇州工業園區直屬,,
相城,,
元和,,
黃橋,,
北橋,,
太平,,
望亭,,
黃埭,,
渭塘,,
陽澄湖,,
開發區,,
姑蘇,,
滄浪,,
吳門橋,,
雙塔,,
平江,,
蘇錦,,
金閶,,
白洋灣,,
虎丘,,
吳江,,
濱湖,,
松陵,,
橫扇,,
同里,,
平望,,
盛澤,,
七都,,
震澤,,
桃源,,
黎里,,
吳江經濟技術開發區,,
常熟,,
碧溪,,
東南,,
虞山,,
常福,,
梅李,,
海虞,,
古里,,
沙家浜,,
支塘,,
董浜,,
尚湖,,
辛莊,,
常熟昆承湖管理委員會,,
張家港,,
塘橋,,
鳳凰,,
樂餘,,
錦豐,,
南豐,,
楊舍,,
大新,,
金港,,
張家港經濟技術開發區,,
崑山,,
玉山,,
巴城,,
周市,,
陸家,,
花橋,,
澱山湖,,
張浦,,
周莊,,
千燈,,
錦溪,,
開發區,,
太倉,,
婁東,,
城廂,,
浮橋,,
璜涇,,
雙鳳,,
沙溪,,
瀏河,,
杭州,,
上城,,
清波,,
湖濱,,
小營,,
南星,,
紫陽,,
望江,,
凱旋,,
採荷,,
閘弄口,,
四季青,,
彭埠,,
筧橋,,
丁蘭,,
九堡,,
拱墅,,
米市巷,,
湖墅,,
小河,,
和睦,,
拱宸橋,,
大關,,
